label,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions
benign,1,0,0,0,1739,0,0
benign,1,0,0,1,73252,2067,0
benign,1,0,0,2,187827,13280,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,402382,0,0
benign,0,0,0,0,440127,0,0
benign,0,0,0,0,0,0,0
benign,1,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,1,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,2,288887,13898,0
benign,1,0,0,0,0,0,0
benign,0,0,0,3,4849687,1543,1
benign,0,0,0,0,172022,0,0
benign,0,0,0,0,0,0,0
benign,1,0,0,0,3228651,0,0
benign,0,0,0,0,2734552,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,1,0,0,0,0,0,0
benign,0,0,0,1,6498,342,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,3,8369073,54322,1
benign,0,0,0,0,0,0,0
benign,0,0,0,2,3110205,2113,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,7831953,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,571544,0,0
benign,0,0,0,2,2096575,4598,0
benign,0,0,0,0,0,0,0
benign,0,0,0,1,6465336,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,6067033,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,3,1157157,39844,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,3411855,0,0
benign,0,0,0,2,7167122,20533,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,837280,0,0
benign,0,0,0,0,595698,0,0
benign,0,0,0,3,183649,43222,0
benign,0,0,0,0,66450,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,1,0,0,0,4740595,0,0
benign,0,0,0,0,1879971,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,1,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,2674068,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,3,20382923,934245,0
benign,0,0,0,0,1222001,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,963979,0,0
benign,0,0,0,2,10972488,142344,0
benign,1,0,0,0,0,0,0
benign,0,0,0,0,2833383,0,0
benign,0,0,0,0,112452,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,1,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,258104,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,3098817,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,0,0,0
benign,0,0,0,0,5661114,0,0
