label,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions
crypto,1,1,1,38,15217982,466438478,1
crypto,1,0,0,31,18961382,848394958,1
crypto,1,0,1,28,27971718,38516200,1
crypto,1,0,0,24,29263793,85948503,1
crypto,1,1,1,23,17049616,36430,1
crypto,1,1,1,21,6884528,5227060,1
crypto,1,0,1,18,36485836,295526920,1
crypto,1,1,1,18,23138375,485395840,0
crypto,1,0,0,17,14250858,45334535,1
crypto,1,1,0,17,11737156,66645355,1
crypto,1,1,1,17,13220195,5491620,0
crypto,1,0,0,17,18427083,55545633,1
crypto,1,0,1,17,21587951,164452550,1
crypto,1,0,0,17,21659386,76497494,1
crypto,1,1,1,17,25079736,324560,1
crypto,1,1,1,17,15443756,8948944,1
crypto,1,1,0,17,11961238,889489,1
crypto,1,1,0,17,15909498,938498,1
crypto,1,1,1,17,17896689,84897933,1
crypto,1,1,0,17,20065764,8938944,1
crypto,1,1,1,17,18437311,164856280,0
crypto,1,1,0,17,19475982,100639660,1
crypto,1,1,0,17,18645140,37479873,1
crypto,1,1,0,17,14208088,4355322,1
crypto,1,1,1,17,20265824,123812020,1
crypto,1,1,0,17,19923335,93654580,1
crypto,1,0,1,17,22972335,49938440,1
crypto,1,1,1,17,103005304,885336980,1
crypto,1,0,1,17,97215654,933355250,1
crypto,1,0,1,17,35574898,765787456,1
crypto,1,0,1,17,87825369,844890350,1
crypto,1,0,0,17,10276830,666756,1
crypto,1,0,0,17,18868983,75456477,0
crypto,1,1,0,17,21183868,7675456,1
crypto,1,1,1,17,21923689,6543234,1
crypto,1,1,1,17,71392674,661073000,1
crypto,1,0,1,17,13204847,95795040,1
crypto,1,0,0,17,19017589,32204070,1
crypto,1,0,1,17,10494673,68006430,1
crypto,1,0,1,17,14157851,57181510,1
crypto,1,0,1,17,19917547,67241360,1
crypto,1,0,1,17,74033771,8887656,1
crypto,1,1,0,17,3758524,4565456,1
crypto,1,0,1,17,10472959,67564,1
crypto,1,1,1,17,10997506,69216120,1
crypto,1,0,1,17,55956064,547936290,1
crypto,1,1,0,17,13548306,93560590,0
crypto,1,1,1,17,13269779,77104950,1
crypto,1,1,0,17,20057954,9854566,1
crypto,1,1,0,17,13366281,53480,1
crypto,1,1,0,17,29000476,6655745,1
crypto,1,0,0,17,15583400,42110,1
crypto,1,0,0,17,18202774,6644554,1
crypto,1,0,1,17,18644993,46367640,1
crypto,1,1,0,17,36995052,411400,1
crypto,1,0,1,17,53253746,521130220,1
crypto,1,0,1,17,33791252,5546745,0
crypto,1,0,1,17,39879284,66300070,0
crypto,1,0,1,17,28386551,44461470,0
crypto,1,0,1,17,14214722,5555830,1
crypto,1,1,0,17,11441389,859445,1
crypto,1,1,1,17,13495463,34364,1
crypto,1,1,1,17,29273081,87780,1
crypto,1,1,1,17,24788030,1829320,0
crypto,1,1,1,17,25698443,2337100,1
crypto,1,1,0,17,10385393,64673436,1
crypto,1,0,1,17,20518949,35627570,1
crypto,1,1,1,14,35267389,33275110,1
crypto,1,0,1,14,26532552,41253870,1
crypto,1,0,1,14,34715070,315733540,1
crypto,1,0,1,14,37090623,334797510,1
crypto,1,0,0,14,11492274,5484930,1
crypto,1,1,1,14,17617793,337990590,1
crypto,1,0,1,14,15707857,38409590,1
crypto,1,0,1,14,16770889,350758610,1
crypto,1,0,1,14,14997869,111912290,1
crypto,1,1,1,14,27536858,62730430,1
crypto,1,0,1,14,15234360,31970130,1
crypto,1,0,0,14,26567137,66445465,1
crypto,1,0,1,14,37806419,337467050,1
crypto,1,0,1,14,57074548,25336630,0
crypto,1,0,1,14,37504936,54533343,0
crypto,1,0,1,14,22100088,55564564,0
crypto,1,0,1,14,17030909,556453,0
crypto,1,0,1,14,13656254,645454,0
crypto,1,0,1,14,15477838,5675930,0
crypto,1,0,1,14,11704170,1760,1
crypto,1,0,1,14,12348134,5454644,0
crypto,1,0,1,14,11722825,44710,1
crypto,1,0,1,14,10820349,66455,0
crypto,1,0,1,14,11806841,5454743,0
crypto,1,0,1,14,13054383,34343553,0
crypto,1,1,1,14,11294902,64490,0
crypto,1,1,1,14,14798300,6674533,0
crypto,1,1,1,14,8257036,2093050,0
crypto,1,1,0,14,3337672,67360,1
crypto,1,1,0,14,1465589,6645333,0
crypto,1,1,0,14,11920596,129470,0
crypto,1,1,0,14,20721506,47830,0
crypto,1,0,1,14,10023494,6383170,0
crypto,1,0,1,14,7549320,7989579,0
crypto,1,1,1,14,12783459,1516520,1
crypto,1,1,0,14,8002435,77849696,0
crypto,1,0,1,14,173992019,105697720,0
crypto,1,0,1,14,73252252,20679980,0
crypto,1,1,1,14,19734477,168887360,0
crypto,1,1,1,14,4156902,16013130,0
crypto,1,1,1,14,7996966,16020060,1
crypto,1,1,1,14,16505041,158682850,1
crypto,1,1,0,14,25478331,553135,1
crypto,1,1,1,14,25563536,23784950,1
crypto,1,1,1,14,19793811,14788150,0
crypto,1,1,0,14,31682801,1343156,0
crypto,1,1,0,14,26062884,798110,0
crypto,1,1,1,14,13982230,4766480,0
crypto,1,1,0,14,15300253,9534510,1
crypto,1,1,1,14,19434267,61304880,0
crypto,1,0,0,14,15587015,63543146,0
crypto,1,0,1,14,23050061,16950980,0
crypto,1,1,1,14,20740286,8090810,0
crypto,1,1,0,14,12325386,47200,0
crypto,1,1,1,14,20237518,6531156,0
crypto,1,1,0,14,27248217,13550,0
crypto,1,1,1,14,12778357,651344,1
crypto,1,1,0,14,15356265,5426642,0
crypto,1,0,1,14,23038776,932050,0
crypto,1,1,1,14,12072118,648700,0
crypto,1,0,1,14,18302873,524522,0
crypto,1,1,1,14,17322826,5245621,0
crypto,1,1,1,14,18528361,50390,0
crypto,1,1,0,14,22260201,1452562,1
crypto,1,1,1,14,25867202,153930,0
crypto,1,1,1,14,15448704,605990,0
crypto,1,1,0,14,14363397,1442260,0
crypto,1,1,0,14,15884063,6425624,0
crypto,1,0,1,14,19141036,9180,1
crypto,1,0,1,14,13573703,6452624,0
crypto,1,0,1,14,13643947,542562,0
crypto,1,1,0,14,15291198,2456246,0
crypto,1,1,0,14,16215192,65426244,0
crypto,1,1,0,14,19067604,5642624,0
crypto,1,1,1,14,13311663,56665245,0
crypto,1,1,1,14,19058924,445050,0
crypto,1,0,1,14,16204579,1552300,0
crypto,1,0,1,14,12328712,52462,0
crypto,1,0,1,14,12623649,5256662,0
